Date,USDPEN,Outright 3M,"ATM VOL MID, 3M",USSOC 3M,Tasa Efectiva 3M,Tasa Implicita 3M
2017-02-28,3.262,3.3225,0.07465,0.008960000000000001,0.008990150582872225,-0.06251830800319524
2017-03-01,3.2595,3.317,0.0718,0.008964999999999999,0.00899518426760948,-0.05917001802260469
2017-03-02,3.2845,3.3176,0.0722,0.008964999999999999,0.00899518426760948,-0.030673538070911333
2017-03-03,3.28,3.3165,0.07195,0.008975,0.009005251693587013,-0.0346855773587148
2017-03-06,3.2945,3.288,0.073875,0.00899,0.009020352973808654,0.017022915550068074
2017-03-07,3.28,3.2955,0.0739,0.00905,0.009080759789805048,-0.009770098281235318
2017-03-08,3.2965,3.2875,0.073475,0.0091,0.009131100874974596,0.02022712358680301
2017-03-09,3.289,3.2815,0.073625,0.00907,0.009100895997851355,0.018357934070342363
2017-03-10,3.2835,3.2805,0.073975,0.00906,0.009090827856157446,0.01278712738733745
2017-03-13,3.285,3.274,0.070825,0.009065,0.009095861917586268,0.02272582026428016
2017-03-14,3.2803,3.274,0.07202499999999999,0.009055,0.009085793813563559,0.01687518104344421
2017-03-15,3.258,3.265,0.072475,0.009065,0.009095861917586268,0.0004698438623920165
2017-03-16,3.2535,3.2788,0.07327499999999999,0.00907,0.009100895997851355,-0.021686310993387026
2017-03-17,3.2495,3.27,0.0716,0.009055,0.009085793813563559,-0.015981538003452922
2017-03-20,3.246,3.2665,0.073475,0.00905,0.009080759789805048,-0.01601305296056732
2017-03-21,3.2505,3.276,0.073825,0.00905,0.009080759789805048,-0.021972571373641503
2017-03-22,3.2453,3.2745,0.0722,0.009130000000000001,0.009161306430172989,-0.02635640701519959
2017-03-23,3.2448,3.278,0.07325,0.00929,0.009322414176913485,-0.030950740247887687
2017-03-24,3.2408,3.2795,0.073325,0.00929,0.009322414176913485,-0.03748324648211776
2017-03-27,3.2525,3.2755,0.073875,0.009250000000000001,0.009282135431917693,-0.018768702552740324
2017-03-28,3.2415,3.277,0.07445,0.00946,0.009493612293192566,-0.0335443853437104
2017-03-29,3.2433,3.271,0.07445,0.00953,0.009564111964918576,-0.024201343967166
2017-03-30,3.2478,3.2745,0.0746,0.009715,0.009750450301271307,-0.022782611055410795
2017-03-31,3.2485,3.2865,0.070075,0.00977,0.009805853159017275,-0.03609369372082494
2017-04-03,3.2505,3.288,0.07345,0.00977,0.009805853159017275,-0.035479795161909466
2017-04-04,3.253,3.284,0.071075,0.010085,0.010123204357117999,-0.027481196511922157
2017-04-05,3.2475,3.2835,0.071,0.01012,0.010158470218079252,-0.03341941785406355
2017-04-06,3.2485,3.2815,0.072575,0.010125,0.010163508273596689,-0.02986197834638593
2017-04-07,3.2455,3.2755,0.07385,0.010235000000000001,0.01027435026284862,-0.026232298140567933
2017-04-10,3.2455,3.2746,0.07352500000000001,0.010289999999999999,0.010329774678007109,-0.025107844440713567
2017-04-11,3.2535,3.2713,0.069575,0.010525,0.010566613776900713,-0.011249545856437226
2017-04-12,3.255,3.2715,0.069725,0.01061,0.010652289236375623,-0.009583111847840553
2017-04-17,3.2505,3.2735,0.06965,0.010705,0.010748050608245574,-0.01736051128414673
2017-04-18,3.2505,3.2785,0.06855,0.010825,0.0108690220680292,-0.02322436622208579
2017-04-19,3.2455,3.277,0.0692,0.0109,0.010944634744452841,-0.027369106051048253
2017-04-20,3.2438,3.2743,0.06912499999999999,0.011141000000000002,0.011187632193173203,-0.025965915242136317
2017-04-21,3.2433,3.2752,0.070075,0.011240000000000002,0.011287465414512532,-0.027539855101573085
2017-04-24,3.244,3.28,0.06605,0.011319999999999998,0.011368144124891177,-0.032307717492898735
2017-04-25,3.2455,3.3165,0.0641,0.011399999999999999,0.011448827662474903,-0.0724221643363927
2017-04-26,3.25,3.2935,0.0629,0.0115,0.011549688873008002,-0.040842352917226044
2017-04-27,3.2455,3.3005,0.063125,0.01151,0.011559775408930717,-0.05420055060877682
2017-04-28,3.2438,3.3145,0.06115,0.011515,0.011564818705178892,-0.07202152840195253
2017-05-02,3.249,3.321,0.061125,0.011519999999999999,0.011569862020284871,-0.0733425433192969
2017-05-03,3.2505,3.3155,0.06085,0.011525,0.011574905354249099,-0.06544987576796402
2017-05-04,3.2835,3.298,0.0616,0.01153,0.011579948707071797,-0.006093136792428067
2017-05-05,3.268,3.29,0.061725,0.01151,0.011559775408930717,-0.015226958845618865
2017-05-08,3.287,3.2935,0.0617,0.0115,0.011549688873008002,0.0035877834427300304
2017-05-09,3.291,3.3045,0.06105000000000001,0.011519999999999999,0.011569862020284871,-0.0048595349540973
2017-05-10,3.2935,3.3075,0.06075,0.01153,0.011579948707071797,-0.005438892754099145
2017-05-11,3.287,3.2949,0.0613,0.011519999999999999,0.011569862020284871,0.0019031564969480552
2017-05-12,3.27,3.304,0.06105000000000001,0.011559999999999999,0.011610209220033862,-0.029391568432447057
2017-05-15,3.2635,3.309,0.06125,0.01158,0.011630383272511535,-0.04287366921805791
2017-05-16,3.2665,3.2979,0.060925,0.01158,0.011630383272511535,-0.026350637568461344
2017-05-17,3.275,3.2975,0.060875000000000005,0.011581999999999999,0.011632400694354228,-0.01569717631938583
2017-05-18,3.2795,3.303,0.061075,0.01158,0.011630383272511535,-0.016853787106905216
2017-05-19,3.267,3.312,0.061,0.01158,0.011630383272511535,-0.04223912946073882
2017-05-22,3.2765,3.3105,0.06105000000000001,0.01158,0.011630383272511535,-0.029292947884276166
2017-05-23,3.2815,3.2995,0.05955,0.011585000000000002,0.011635426832777185,-0.010259975490075735
2017-05-24,3.2675,3.3035,0.060125000000000005,0.011575,0.01162533973110369,-0.03175594371818613
2017-05-25,3.269,3.3,0.059675000000000006,0.011575,0.01162533973110369,-0.025854963447616508
2017-05-26,3.275,3.297,0.058425000000000005,0.01158,0.011630383272511535,-0.015101914616513779
2017-05-29,3.284,3.294,0.05715,0.01158,0.011630383272511535,-0.0005983113707156429
2017-05-30,3.2825,3.2955,0.056525,0.01158,0.011630383272511535,-0.0042380211672035095
2017-05-31,3.2705,3.297,0.055975000000000004,0.01158,0.011630383272511535,-0.020503948213178358
2017-06-01,3.274,3.295,0.0565,0.01157,0.011620296208554981,-0.013923614143445562
2017-06-02,3.2723,3.306,0.056025,0.011565,0.011615252704865187,-0.029006279520097822
2017-06-05,3.2682,3.3065,0.056799999999999996,0.011555,0.011605165754061009,-0.03445741525421642
2017-06-06,3.267,3.2995,0.054875,0.011575,0.01162533973110369,-0.0276475644523293
2017-06-07,3.271,3.3065,0.055475000000000003,0.011575,0.01162533973110369,-0.031124960531989987
2017-06-08,3.2695,3.3,0.0552,0.011575,0.01162533973110369,-0.02525883707536214
2017-06-09,3.268,3.2917,0.0552,0.01158,0.011630383272511535,-0.017191133181161167
2017-06-12,3.2815,3.3005,0.055549999999999995,0.011575,0.01162533973110369,-0.011468790415244734
2017-06-13,3.279,3.2999,0.0553,0.011575,0.01162533973110369,-0.013760826005902227
2017-06-14,3.2698,3.289,0.055374999999999994,0.011571,0.011621304911555885,-0.011794580913837893
2017-06-15,3.2775,3.2845,0.0546,0.01157,0.011620296208554981,0.0030238750203210873
2017-06-16,3.273,3.2805,0.056749999999999995,0.011576999999999999,0.011627357145403527,0.002407755753934815
2017-06-19,3.2665,3.2865,0.054825,0.01157,0.011620296208554981,-0.012780698842601024
2017-06-20,3.2725,3.2815,0.0547,0.01158,0.011630383272511535,0.0005777725580893289
2017-06-21,3.2725,3.2845,0.055549999999999995,0.011572,0.011622313615311741,-0.003080809415067498
2017-06-22,3.2607,3.2845,0.0555,0.011559999999999999,0.011610209220033862,-0.01739377149472554
2017-06-23,3.2562,3.2855,0.053875,0.011565,0.011615252704865187,-0.023991116496023257
2017-06-26,3.2535,3.282,0.054474999999999996,0.01155,0.011600122306946181,-0.023082677278434827
2017-06-27,3.2565,3.282,0.055999999999999994,0.011560999999999998,0.01161121791549169,-0.01946373678858837
2017-06-28,3.2465,3.2835,0.0526,0.011576,0.011626348437876466,-0.03320659626234845
2017-06-30,3.245,3.2845,0.0529,0.011565,0.011615252704865187,-0.03617739332309111
2017-07-03,3.2578,3.2795,0.052275,0.011564000000000001,0.011614244006389773,-0.014896026823115416
2017-07-04,3.2575,3.272,0.050075,0.011559999999999999,0.011610209220033862,-0.006202909014112357
2017-07-05,3.2575,3.291,0.05175,0.011565,0.011615252704865187,-0.028950123871325673
2017-07-06,3.2533,3.276,0.0526,0.011559999999999999,0.011610209220033862,-0.016138233343501507
2017-07-07,3.2537,3.2725,0.053025,0.01157,0.011620296208554981,-0.011426550193804785
2017-07-10,3.2552,3.2715,0.049,0.011575,0.01162533973110369,-0.008385866631782424
2017-07-11,3.2565,3.2725,0.051525,0.01159,0.01164047041190197,-0.007999470412041187
2017-07-12,3.2515,3.2795,0.052975,0.011594,0.011644505288780138,-0.022464767119850904
2017-07-13,3.2435,3.2755,0.050075,0.011576999999999999,0.011627357145403527,-0.027329466604361197
2017-07-14,3.2505,3.28,0.05005,0.011520999999999998,0.011570870685569279,-0.024332987816824914
2017-07-17,3.2473,3.274,0.050199999999999995,0.011519999999999999,0.011569862020284871,-0.021026735183920064
2017-07-18,3.2432,3.249,0.047725,0.01153,0.011579948707071797,0.00437592086870664
2017-07-19,3.242,3.2685,0.049124999999999995,0.011519999999999999,0.011569862020284871,-0.020839316854659895
2017-07-20,3.2425,3.269,0.0495,0.011519999999999999,0.011569862020284871,-0.020834420163430067
2017-07-21,3.2495,3.2675,0.049025,0.011514,0.011563810044420642,-0.010542684633594868
2017-07-24,3.2455,3.2675,0.051275,0.01151,0.011559775408930717,-0.015409547378344213
2017-07-25,3.251,3.2735,0.05115,0.011485,0.01153455921055957,-0.01599065691396062
2017-07-26,3.2455,3.271,0.050075,0.0115,0.011549688873008002,-0.019626647463318103
2017-07-27,3.246,3.2715,0.05122499999999999,0.01151,0.011559775408930717,-0.019612162694528146
2017-07-31,3.24,3.278,0.052425,0.01151,0.011559775408930717,-0.03453664318614835
2017-08-01,3.2393,3.28,0.0526,0.011519999999999999,0.011569862020284871,-0.037711731967330575
2017-08-02,3.24,3.274,0.05215,0.011519999999999999,0.011569862020284871,-0.029800107135243392
2017-08-03,3.239,3.2735,0.05205,0.01154,0.011590035469292825,-0.03038582984657212
2017-08-04,3.2455,3.283,0.052275,0.011557,0.01160718313818676,-0.03382715437252237
2017-08-07,3.2427,3.2715,0.05325,0.01153,0.011579948707071797,-0.02357340461340296
2017-08-08,3.2425,3.2755,0.052825,0.01151,0.011559775408930717,-0.028593343136295246
2017-08-09,3.2485,3.2715,0.052450000000000004,0.01151,0.011559775408930717,-0.016588376404703897
2017-08-10,3.2515,3.2685,0.052675,0.011504,0.011553723478325395,-0.009327678853401467
2017-08-11,3.2445,3.2605,0.05335,0.011511,0.01156078406667116,-0.008149354764429906
2017-08-14,3.244,3.268,0.05315,0.011519999999999999,0.011569862020284871,-0.017820031391015734
2017-08-15,3.2455,3.2635,0.053525,0.011585000000000002,0.011635426832777185,-0.010499505915933294
2017-08-16,3.2415,3.266,0.05295,0.01154,0.011590035469292825,-0.018424014136456557
2017-08-17,3.241,3.2675,0.05175,0.01158,0.011630383272511535,-0.020790533021772584
2017-08-18,3.2425,3.2695,0.052074999999999996,0.011585000000000002,0.011635426832777185,-0.02136982667561904
2017-08-21,3.2395,3.2655,0.0495,0.011571,0.011621304911555885,-0.020214175479972063
2017-08-22,3.2385,3.257,0.050300000000000004,0.01158,0.011630383272511535,-0.01115906689047197
2017-08-23,3.2375,3.257,0.045175,0.01158,0.011630383272511535,-0.012379858020461043
2017-08-24,3.2375,3.2565,0.04285,0.011581999999999999,0.011632400694354228,-0.011771194426975051
2017-08-25,3.2375,3.2545,0.0436,0.01158,0.011630383272511535,-0.009341730163965556
2017-08-28,3.2385,3.252,0.042300000000000004,0.01158,0.011630383272511535,-0.005063594511693248
2017-08-29,3.2395,3.25,0.04255,0.01158,0.011630383272511535,-0.0013797747387404025
2017-08-31,3.2395,3.2535,0.041925,0.01158,0.011630383272511535,-0.005669966668509496
2017-09-04,3.2372,3.2585,0.0425,0.01158,0.011630383272511535,-0.014562488557531839
2017-09-05,3.2375,3.2585,0.0421,0.01158,0.011630383272511535,-0.01419714523443516
2017-09-06,3.2355,3.2715,0.043425000000000005,0.01158,0.011630383272511535,-0.03216843410396608
2017-09-07,3.235,3.2655,0.043625,0.01158,0.011630383272511535,-0.025638193172354606
2017-09-08,3.2325,3.2625,0.043449999999999996,0.01159,0.01164047041190197,-0.025059194941530194
2017-09-11,3.2315,3.264,0.04165,0.011585000000000002,0.011635426832777185,-0.028058624614313743
2017-09-12,3.2335,3.2685,0.04315,0.011585000000000002,0.011635426832777185,-0.031005005626749682
2017-09-13,3.2387,3.266,0.043449999999999996,0.01158,0.011630383272511535,-0.02177213871106687
2017-09-14,3.2385,3.279,0.0421,0.01158,0.011630383272511535,-0.037431149754581394
2017-09-15,3.2508,3.2855,0.043175,0.011585000000000002,0.011635426832777185,-0.030430047801080162
2017-09-18,3.2452,3.285,0.043449999999999996,0.01158,0.011630383272511535,-0.036512159517584686
2017-09-19,3.2465,3.283,0.043250000000000004,0.011586,0.011636435547093704,-0.03260784627155566
2017-09-20,3.2485,3.2855,0.043875000000000004,0.01158,0.011630383272511535,-0.0331759106073819
2017-09-21,3.2487,3.292,0.043575,0.01158,0.011630383272511535,-0.04055299384488387
2017-09-22,3.2462,3.283,0.043324999999999995,0.01157,0.011620296208554981,-0.03298080051657337
2017-09-25,3.259,3.275,0.043875000000000004,0.01158,0.011630383272511535,-0.00799447950386667
2017-09-26,3.2655,3.278,0.044050000000000006,0.01158,0.011630383272511535,-0.0037121823653433195
2017-09-27,3.2722,3.2895,0.0441,0.01158,0.011630383272511535,-0.009483617820698731
2017-09-28,3.2667,3.292,0.04252500000000001,0.01158,0.011630383272511535,-0.019111668192019704
2017-09-29,3.2655,3.2855,0.043825,0.01158,0.011630383272511535,-0.012778214150201417
2017-10-02,3.2728,3.2765,0.043675,0.01165,0.01170099483240139,0.007138861140666863
2017-10-03,3.263,3.273,0.043825,0.011859999999999999,0.011912851691214588,-0.00039738042737391677
2017-10-04,3.2595,3.2685,0.044000000000000004,0.011885,0.011938074961975742,0.0008383106773881543
2017-10-05,3.262,3.2645,0.0441,0.012044999999999998,0.012099515061158472,0.009002754489995768
2017-10-06,3.2695,3.265,0.04415,0.012142,0.012197397525950171,0.017789205961103116
2017-10-09,3.272,3.2575,0.045075000000000004,0.012199999999999999,0.012255928577036723,0.030399908573064183
2017-10-10,3.2645,3.2545,0.044325,0.012470000000000002,0.012528434125469667,0.025030566527427744
2017-10-11,3.26,3.258,0.044325,0.012619,0.012678840374362066,0.01516775801014214
2017-10-12,3.2535,3.2595,0.04245,0.012602,0.012661679083063149,0.005225920310872212
2017-10-13,3.2485,3.2565,0.04385,0.012696,0.012756573660499315,0.0028413322722324885
2017-10-16,3.2435,3.2545,0.0431,0.012765,0.01282623456282761,-0.0007976480701695765
2017-10-17,3.2445,3.2615,0.04365,0.012809999999999998,0.012871667522125874,-0.008081464978887176
2017-10-18,3.2368,3.2665,0.042025,0.012891,0.012953450700687652,-0.023387452394902253
2017-10-19,3.2348,3.2705,0.0437,0.01312,0.01318469166595082,-0.03033494824271188
2017-10-20,3.2385,3.2685,0.043225,0.01317,0.013235186225143192,-0.023455785709271648
2017-10-23,3.2395,3.259,0.043425000000000005,0.013304,0.013370520950893416,-0.010666393653927853
2017-10-24,3.2365,3.262,0.0438,0.013391,0.013458394784677807,-0.017861935936401285
2017-10-25,3.2345,3.2585,0.0424,0.013444000000000001,0.013511929921345978,-0.01601928755942339
2017-10-26,3.2405,3.2635,0.04305,0.01367,0.01374023563002269,-0.014537008742983692
2017-10-27,3.2465,3.266,0.043475,0.01375,0.01382106105271319,-0.010175461223872362
2017-10-30,3.25,3.2615,0.04365,0.013885000000000002,0.013957464912938145,-0.00026787129400462906
2017-10-31,3.2505,3.2625,0.049175,0.01397,0.014043355886140585,-0.000793791187566506
2017-11-02,3.2385,3.2605,0.05015,0.01394,0.014013040801942767,-0.013079141844723474
2017-11-03,3.2435,3.2635,0.050625,0.013999999999999999,0.01407367165006268,-0.010557301010233111
2017-11-06,3.2389,3.276,0.04769999999999999,0.013963000000000001,0.014036282305698311,-0.03112426340561214
2017-11-07,3.2432,3.2665,0.046875,0.013973,0.01404638743194564,-0.014578354823643114
2017-11-08,3.2464,3.2635,0.046675,0.014003000000000002,0.014076703263839807,-0.007010957223263392
2017-11-09,3.2425,3.2585,0.0481,0.01401,0.014083777055754032,-0.005687560438272232
2017-11-10,3.2446,3.254,0.047599999999999996,0.013996999999999999,0.01407064004308256,0.0024037205837346143
2017-11-13,3.2414,3.2575,0.047400000000000005,0.013995,0.014068618975539016,-0.005831137185787094
2017-11-14,3.2435,3.2575,0.04775,0.01401,0.014083777055754032,-0.0032373716319646917
2017-11-15,3.2566,3.2575,0.0478,0.01399,0.014063566319896248,0.01294334645997175
2017-11-16,3.2463,3.2555,0.047775,0.014081,0.014155527607946583,0.0027400711180456394
2017-11-17,3.2414,3.2535,0.047825,0.01409,0.014164623020266998,-0.0008384250589621445
2017-11-20,3.2385,3.2545,0.04724999999999999,0.01413,0.014205047815214034,-0.005592777911105795
2017-11-21,3.2365,3.2535,0.04705,0.01414,0.014215154202777525,-0.006816955921208456
2017-11-22,3.2365,3.254,0.04769999999999999,0.014155,0.014230313925742477,-0.0074124172668001975
2017-11-23,3.2375,3.2535,0.047850000000000004,0.014155,0.014230313925742477,-0.005574045320439369
2017-11-24,3.2374,3.257,0.04855,0.014165,0.014240420502134477,-0.009954099665074212
2017-11-27,3.2363,3.2565,0.048875,0.014159999999999999,0.014235367204497251,-0.01069657285305925
2017-11-28,3.2335,3.2465,0.048150000000000005,0.014159999999999999,0.014235367204497251,-0.00191257714396742
2017-11-29,3.2345,3.257,0.04845,0.014178,0.014253559164363994,-0.013484012051843797
2017-11-30,3.2335,3.2458,0.048925,0.01418,0.01425558050834419,-0.0010313865427835633
2017-12-01,3.2345,3.2481,0.04295,0.01418,0.01425558050834419,-0.0026250373590159803
2017-12-04,3.233,3.2495,0.04555,0.01418,0.01425558050834419,-0.006188405694416144
2017-12-05,3.2372,3.2581,0.04565,0.01418,0.01425558050834419,-0.011519984719527976
2017-12-06,3.2345,3.3228,0.044974999999999994,0.014181,0.014256591181467604,-0.08933288647262938
2017-12-07,3.2354,3.2985,0.043975,0.01418,0.01425558050834419,-0.06115612591369657
2017-12-11,3.2345,3.2977,0.043875000000000004,0.014173999999999999,0.014249516485466351,-0.061295598506890925
2017-12-12,3.2335,3.287,0.044000000000000004,0.01418,0.01425558050834419,-0.05018275437281838
2017-12-13,3.2334,3.2794,0.0434,0.01418,0.01425558050834419,-0.04146588916149252
2017-12-14,3.243,3.248,0.044275,0.014207000000000001,0.014282868947794514,0.008051691745906586
2017-12-15,3.294,3.2565,0.044524999999999995,0.01426,0.0143364367450729,0.0618717712259198
2017-12-18,3.2804,3.2541,0.04455,0.01425,0.014326329451110453,0.047517608925531585
